Year,Month,Trade,Product,Product_KR,Country,Cases,Quantity_kg
2022,10,Import,Frozen deer velvet,생녹용,New Zealand,1,1519.33
2022,11,Import,Dried deer velvet,녹용,China,6,11862.5
2022,11,Import,Dried deer velvet,녹용,Kazakhstan,2,570.7
2022,11,Import,Dried deer velvet,녹용,New Zealand,1,1750
2022,11,Import,Dried deer velvet,녹용,Russia,5,11937.34
2022,11,Import,Frozen deer velvet,생녹용,New Zealand,1,5000
2022,12,Export,Deer velvet extract,녹용추출물,USA,2,6272.3
2022,12,Import,Dried deer velvet,녹용,China,9,9467
2022,12,Import,Dried deer velvet,녹용,Hong Kong,1,400
2022,12,Import,Dried deer velvet,녹용,Russia,3,4678.09
2022,12,Import,Frozen deer velvet,생녹용,New Zealand,8,13720
2023,1,Export,Deer velvet extract,녹용추출물,USA,1,12.8
2023,1,Import,Dried deer velvet,녹용,China,4,5310
2023,1,Import,Dried deer velvet,녹용,Hong Kong,2,682
2023,1,Import,Dried deer velvet,녹용,Kazakhstan,1,184
2023,1,Import,Dried deer velvet,녹용,New Zealand,3,4560.71
2023,1,Import,Dried deer velvet,녹용,Russia,2,2200.41
2023,1,Import,Frozen deer velvet,생녹용,New Zealand,2,2500
2023,2,Export,Deer velvet extract,녹용추출물,USA,1,252
2023,2,Import,Dried deer velvet,녹용,China,4,4148
2023,2,Import,Dried deer velvet,녹용,Hong Kong,1,878
2023,2,Import,Dried deer velvet,녹용,New Zealand,2,3446.81
2023,2,Import,Dried deer velvet,녹용,Russia,1,334.3
2023,2,Import,Frozen deer velvet,생녹용,New Zealand,6,19490
2023,3,Export,Deer velvet extract,녹용추출물,USA,3,1052
2023,3,Import,Dried deer velvet,녹용,China,2,4289
2023,3,Import,Dried deer velvet,녹용,New Zealand,4,6089.76
2023,3,Import,Dried deer velvet,녹용,Russia,1,967.2
2023,3,Import,Frozen deer velvet,생녹용,New Zealand,9,28500
2023,4,Export,Deer velvet extract,녹용추출물,USA,1,170
2023,4,Import,Dried deer velvet,녹용,China,9,9121
2023,4,Import,Dried deer velvet,녹용,Hong Kong,1,2800
2023,4,Import,Dried deer velvet,녹용,New Zealand,3,5128.29
2023,4,Import,Dried deer velvet,녹용,Russia,4,3603.25
